,OccupancyDateTime,PaidOccupancy
146,2023-12-08 00:10:00,2.6
147,2023-12-08 00:15:00,2.6
148,2023-12-08 00:20:00,2.6
149,2023-12-08 00:25:00,2.6
150,2023-12-08 00:30:00,2.6
151,2023-12-08 00:35:00,2.6
152,2023-12-08 00:40:00,2.6
153,2023-12-08 00:45:00,2.6
154,2023-12-08 00:50:00,2.6
155,2023-12-08 00:55:00,2.6
156,2023-12-08 01:00:00,2.6
157,2023-12-08 01:05:00,2.6
158,2023-12-08 01:10:00,2.6
159,2023-12-08 01:15:00,2.6
160,2023-12-08 01:20:00,2.6
161,2023-12-08 01:25:00,2.6
162,2023-12-08 01:30:00,2.6
163,2023-12-08 01:35:00,2.6
164,2023-12-08 01:40:00,2.6
165,2023-12-08 01:45:00,2.6
166,2023-12-08 01:50:00,2.6
167,2023-12-08 01:55:00,2.6
168,2023-12-08 02:00:00,2.6
169,2023-12-08 02:05:00,2.6
170,2023-12-08 02:10:00,2.6
171,2023-12-08 02:15:00,2.6
172,2023-12-08 02:20:00,2.6
173,2023-12-08 02:25:00,2.6
174,2023-12-08 02:30:00,2.6
175,2023-12-08 02:35:00,2.6
176,2023-12-08 02:40:00,2.6
177,2023-12-08 02:45:00,2.6
178,2023-12-08 02:50:00,2.6
179,2023-12-08 02:55:00,2.6
180,2023-12-08 03:00:00,2.6
181,2023-12-08 03:05:00,2.6
182,2023-12-08 03:10:00,2.6
183,2023-12-08 03:15:00,2.6
184,2023-12-08 03:20:00,2.6
185,2023-12-08 03:25:00,2.6
186,2023-12-08 03:30:00,2.6
187,2023-12-08 03:35:00,2.6
188,2023-12-08 03:40:00,2.6
189,2023-12-08 03:45:00,2.6
190,2023-12-08 03:50:00,2.6
191,2023-12-08 03:55:00,2.6
192,2023-12-08 04:00:00,2.6
193,2023-12-08 04:05:00,2.6
194,2023-12-08 04:10:00,2.6
195,2023-12-08 04:15:00,2.6
196,2023-12-08 04:20:00,2.6
197,2023-12-08 04:25:00,2.6
198,2023-12-08 04:30:00,2.6
199,2023-12-08 04:35:00,2.6
200,2023-12-08 04:40:00,2.6
201,2023-12-08 04:45:00,2.6
202,2023-12-08 04:50:00,2.6
203,2023-12-08 04:55:00,2.6
204,2023-12-08 05:00:00,2.6
205,2023-12-08 05:05:00,2.6
206,2023-12-08 05:10:00,2.6
207,2023-12-08 05:15:00,2.6
